InvoiceNo,Category,Product,Quantity,UnitPrice,InvoiceDate,CustomerID,Country
15625,Groceries,Milk,8,134.12,2022-10-03 04:00:00,1854.0,France
12950,Books,Biography,8,9.5,2022-12-27 10:00:00,1357.0,USA
17992,Clothing,Jacket,7,325.91,2022-02-12 17:00:00,1607.0,UK
14780,Home Decor,Table,1,257.99,2022-11-21 09:00:00,1940.0,Australia
12368,Books,Biography,4,225.53,2022-01-03 23:00:00,1369.0,USA
16655,Home Decor,Table,4,483.65,2022-08-20 02:00:00,1226.0,UK
18173,Home Decor,Sofa,5,287.74,2022-04-22 21:00:00,1704.0,Germany
14495,Clothing,Jeans,6,432.4,2022-11-04 04:00:00,1302.0,USA
19163,Groceries,Milk,4,74.03,2022-03-19 00:00:00,1825.0,USA
16002,Clothing,T-Shirt,2,286.76,2022-03-26 06:00:00,1388.0,Canada
16614,Books,Non-Fiction,6,434.65,2022-09-22 02:00:00,1376.0,Australia
19358,Books,Textbook,8,293.64,2022-06-05 21:00:00,1972.0,Australia
15919,Books,Textbook,8,360.42,2022-02-24 02:00:00,1117.0,Germany
10853,Clothing,Jeans,7,189.16,2022-06-20 22:00:00,1004.0,Canada
14146,Home Decor,Chair,6,50.76,2022-02-07 16:00:00,1443.0,UK
13769,Home Decor,Chair,2,231.66,2022-05-07 02:00:00,1351.0,UK
10574,Electronics,Smartphone,7,200.27,2022-10-07 13:00:00,1754.0,Germany
11148,Books,Non-Fiction,5,434.19,2022-07-16 07:00:00,1532.0,Australia
16293,Home Decor,Table,6,125.78,2022-12-01 05:00:00,1663.0,UK
16457,Electronics,Smartphone,8,483.53,2022-09-06 17:00:00,1639.0,Germany
17509,Home Decor,Curtains,8,479.28,2022-04-20 04:00:00,1123.0,UK
19907,Books,Non-Fiction,3,127.58,2022-04-21 06:00:00,1657.0,France
14777,Groceries,Milk,7,177.29,2022-07-22 17:00:00,1276.0,USA
13854,Books,Textbook,1,448.3,2022-11-03 01:00:00,1821.0,Australia
12491,Clothing,Jeans,1,483.48,2022-04-06 09:00:00,1393.0,France
13124,Home Decor,Chair,7,224.5,2022-11-04 02:00:00,1663.0,Germany
15691,Home Decor,Chair,9,163.89,2022-06-11 08:00:00,1359.0,Germany
13051,Clothing,Jacket,7,265.42,2022-11-17 10:00:00,1622.0,France
10004,Clothing,Cap,5,345.45,2022-03-02 00:00:00,1468.0,USA
15222,Groceries,Milk,8,140.37,2022-02-01 21:00:00,1984.0,USA
15315,Home Decor,Curtains,2,369.55,2022-06-20 12:00:00,,Canada
14869,Home Decor,Curtains,9,30.57,2022-04-22 02:00:00,1699.0,UK
10876,Groceries,Eggs,6,29.4,2022-12-27 15:00:00,1056.0,Canada
19183,Electronics,Charger,9,196.21,2022-09-06 16:00:00,1250.0,USA
17027,Groceries,Eggs,2,179.97,2022-11-15 09:00:00,1895.0,France
14142,Books,Non-Fiction,3,161.24,2022-04-01 21:00:00,1918.0,UK
16966,Home Decor,Lamp,8,248.05,2022-06-12 00:00:00,1149.0,France
17079,Clothing,T-Shirt,1,163.76,2022-02-05 00:00:00,1451.0,Canada
17987,Books,Biography,7,100.17,2022-09-03 19:00:00,1161.0,Germany
16799,Home Decor,Chair,7,158.19,2022-06-21 14:00:00,1119.0,France
14465,Groceries,Rice,1,487.58,2022-01-24 13:00:00,1581.0,Canada
10635,Books,Fiction,9,208.5,2022-09-08 05:00:00,1923.0,Canada
11693,Home Decor,Curtains,8,225.13,2022-10-29 02:00:00,1350.0,Canada
19874,Electronics,Laptop,4,290.39,2022-09-03 10:00:00,1098.0,Germany
14752,Electronics,Laptop,5,491.75,2022-06-29 15:00:00,1166.0,Germany
18311,Clothing,Shoes,2,124.59,2022-11-19 08:00:00,1809.0,Germany
10830,Home Decor,Sofa,9,342.23,2022-05-05 06:00:00,1662.0,UK
15177,Electronics,Charger,6,359.41,2022-09-11 11:00:00,1837.0,Germany
19561,Groceries,Eggs,3,305.63,2022-01-24 04:00:00,1975.0,Germany
18932,Home Decor,Chair,7,48.85,2022-05-06 19:00:00,1513.0,Germany
18308,Groceries,Bread,9,340.05,2022-04-18 12:00:00,1663.0,France
15949,Groceries,Eggs,3,36.73,2022-12-06 10:00:00,1400.0,Germany
12838,Electronics,,2,300.09,2022-12-10 11:00:00,1364.0,UK
11150,Home Decor,Curtains,7,371.09,2022-06-17 11:00:00,1576.0,Canada
17560,Books,Non-Fiction,7,109.43,2022-05-11 18:00:00,1325.0,France
11931,Electronics,Headphones,4,421.6,2022-01-28 23:00:00,1580.0,USA
19204,Electronics,Headphones,9,20.03,2022-02-02 09:00:00,1632.0,Germany
11664,Home Decor,Curtains,8,422.69,2022-07-25 07:00:00,1620.0,Canada
11081,Home Decor,Sofa,1,232.86,2022-05-06 22:00:00,1827.0,Canada
10512,Groceries,Rice,1,112.71,2022-03-19 12:00:00,1246.0,France
17805,Home Decor,Curtains,5,71.22,2022-05-11 19:00:00,1433.0,USA
15237,Groceries,Eggs,6,476.89,2022-02-14 18:00:00,1092.0,Australia
10559,Electronics,Laptop,3,40.97,2022-10-09 19:00:00,1267.0,UK
13672,Clothing,Cap,9,103.55,2022-03-24 18:00:00,1614.0,Australia
17404,Books,Non-Fiction,6,177.17,2022-09-21 15:00:00,1942.0,Canada
13343,Electronics,Smartphone,4,312.02,2022-02-13 14:00:00,,Australia
14070,Home Decor,Curtains,7,274.68,2022-04-01 16:00:00,1623.0,Canada
19662,Books,Textbook,8,67.19,2022-04-08 10:00:00,1320.0,Australia
10580,Clothing,Cap,9,148.42,2022-01-21 20:00:00,1922.0,Canada
17004,Clothing,Jeans,6,123.18,2022-04-04 01:00:00,1815.0,Canada
18130,Groceries,Bread,6,110.7,2022-07-12 00:00:00,1855.0,France
13147,Books,Fiction,8,208.52,2022-10-29 10:00:00,,USA
14249,Groceries,Milk,5,353.5,2022-11-29 04:00:00,1299.0,Canada
11679,Electronics,Headphones,3,112.64,2022-10-03 10:00:00,1402.0,UK
13506,Books,Textbook,3,186.51,2022-01-26 00:00:00,1954.0,UK
17253,Electronics,Keyboard,6,198.5,2022-06-28 12:00:00,1647.0,Germany
12744,Groceries,Bread,2,488.35,2022-07-06 19:00:00,1566.0,Canada
19435,Books,Non-Fiction,6,477.56,2022-09-03 21:00:00,1619.0,Canada
15188,Groceries,,6,401.07,2022-09-13 09:00:00,1302.0,Canada
12141,Books,Textbook,8,124.62,2022-03-15 02:00:00,1769.0,Australia
16617,Groceries,Milk,7,38.68,2022-04-13 16:00:00,,Canada
12479,Clothing,T-Shirt,8,161.87,2022-07-06 18:00:00,1733.0,Canada
16484,Groceries,,9,137.06,2022-11-05 08:00:00,1477.0,UK
19827,Clothing,Shoes,6,255.43,2022-10-11 14:00:00,1368.0,USA
17421,Groceries,Rice,3,389.98,2022-12-27 03:00:00,1678.0,USA
19949,Books,Textbook,3,429.87,2022-11-05 04:00:00,1940.0,Germany
14452,Books,Non-Fiction,1,423.21,2022-11-02 18:00:00,1159.0,UK
15881,Books,Comics,5,183.04,2022-08-07 09:00:00,1960.0,Canada
16665,Home Decor,Curtains,4,345.18,2022-11-05 02:00:00,1165.0,USA
12849,Electronics,Keyboard,9,159.85,2022-09-26 05:00:00,1204.0,France
17390,Books,Biography,9,35.15,2022-07-15 15:00:00,1266.0,France
16905,Clothing,Shoes,5,352.27,2022-04-18 20:00:00,1137.0,France
12489,Books,Comics,4,9.86,2022-03-16 06:00:00,1367.0,Canada
19823,Home Decor,Sofa,7,207.55,2022-09-05 19:00:00,1442.0,Canada
19207,Clothing,T-Shirt,6,168.04,2022-10-02 18:00:00,1857.0,Germany
19540,Home Decor,Table,4,348.22,2022-05-27 16:00:00,1759.0,Germany
14611,Clothing,T-Shirt,2,384.29,2022-05-15 02:00:00,1566.0,Germany
12839,Groceries,Bread,1,155.53,2022-06-06 13:00:00,1915.0,Australia
18527,Electronics,Laptop,4,406.76,2022-06-17 08:00:00,1720.0,France
15878,Electronics,Smartphone,4,150.49,2022-04-29 05:00:00,1016.0,Canada
19087,Home Decor,Lamp,1,225.93,2022-09-08 00:00:00,1067.0,France
16303,Electronics,Keyboard,6,364.87,2022-10-21 02:00:00,1132.0,Germany
10851,Home Decor,Lamp,4,348.0,2022-11-01 13:00:00,1699.0,Canada
11687,Home Decor,Table,1,493.75,2022-06-26 15:00:00,1918.0,UK
16833,Home Decor,Lamp,1,116.45,2022-07-04 12:00:00,1429.0,USA
12427,Electronics,Charger,1,332.85,2022-06-22 22:00:00,1307.0,USA
19760,Home Decor,Lamp,8,306.79,2022-03-02 06:00:00,1649.0,Germany
14000,Electronics,Laptop,8,457.97,2022-09-27 12:00:00,1173.0,France
15052,Home Decor,Lamp,2,82.4,2022-08-30 06:00:00,1411.0,UK
12738,Books,Non-Fiction,7,377.14,2022-06-23 23:00:00,1096.0,Canada
15732,Home Decor,,8,286.29,2022-07-31 16:00:00,1682.0,France
15387,Clothing,T-Shirt,8,140.96,2022-02-06 00:00:00,1153.0,Germany
18002,Home Decor,Lamp,7,239.85,2022-10-13 20:00:00,1694.0,France
15536,Groceries,Rice,5,170.22,2022-12-27 23:00:00,1241.0,Germany
13913,Home Decor,Table,1,291.76,2022-09-17 01:00:00,1303.0,Australia
11066,Clothing,Cap,9,445.06,2022-08-25 08:00:00,1284.0,USA
17723,Clothing,Jeans,7,286.81,2022-03-04 14:00:00,1026.0,USA
14380,Electronics,Smartphone,2,317.7,2022-07-15 04:00:00,1401.0,France
14107,Books,Biography,6,261.78,2022-02-28 18:00:00,1359.0,UK
15726,Home Decor,Chair,2,30.33,2022-06-07 02:00:00,1059.0,Canada
13373,Electronics,Headphones,1,120.26,2022-07-14 03:00:00,1201.0,Germany
18945,Books,Comics,7,248.54,2022-06-16 17:00:00,1761.0,Canada
12082,Home Decor,Chair,2,158.57,2022-05-26 03:00:00,1873.0,USA
18967,Groceries,Eggs,2,94.97,2022-07-10 02:00:00,1580.0,UK
16748,Home Decor,Lamp,5,254.55,2022-01-25 22:00:00,1969.0,UK
19817,Clothing,Jacket,5,164.79,2022-05-07 17:00:00,1369.0,Canada
10417,Clothing,Jeans,7,132.76,2022-12-07 00:00:00,1532.0,USA
18306,Groceries,Milk,1,234.67,2022-09-24 07:00:00,1151.0,Canada
18808,Electronics,Laptop,8,70.98,2022-10-31 15:00:00,1101.0,France
13974,Books,Biography,3,464.23,2022-01-03 18:00:00,1898.0,UK
13267,Home Decor,Curtains,4,434.51,2022-12-05 11:00:00,1999.0,UK
10825,Clothing,Shoes,9,355.27,2022-04-25 14:00:00,1606.0,France
17668,Electronics,Charger,4,57.58,2022-12-27 21:00:00,1445.0,USA
15745,Groceries,Bread,5,389.06,2022-10-11 14:00:00,1872.0,UK
19708,Clothing,Shoes,7,404.94,2022-09-25 21:00:00,1228.0,Australia
10412,Groceries,Eggs,4,385.04,2022-12-05 11:00:00,1124.0,Australia
17543,Home Decor,Table,1,61.41,2022-03-09 23:00:00,1769.0,Australia
17587,Books,Fiction,9,323.73,2022-09-26 20:00:00,1833.0,Germany
10728,Clothing,T-Shirt,4,417.99,2022-02-02 06:00:00,1998.0,Germany
17164,Clothing,T-Shirt,9,290.79,2022-09-12 11:00:00,1880.0,USA
18867,Home Decor,Lamp,6,324.97,2022-11-22 04:00:00,1937.0,France
15988,Electronics,Keyboard,1,231.89,2022-06-17 11:00:00,1235.0,Canada
12504,Books,Non-Fiction,3,266.71,2022-02-08 17:00:00,1161.0,USA
12967,Clothing,Shoes,2,22.02,2022-05-06 12:00:00,1553.0,Canada
12786,Books,Textbook,9,321.29,2022-07-29 08:00:00,1787.0,USA
11122,Clothing,Shoes,1,45.32,2022-09-19 00:00:00,1352.0,Germany
14079,Books,Comics,9,220.33,2022-11-29 05:00:00,1067.0,Australia
11571,Groceries,Rice,9,149.86,2022-07-17 01:00:00,1172.0,France
15073,Clothing,Jeans,8,274.99,2022-11-28 17:00:00,1842.0,Germany
15104,Books,Textbook,8,71.04,2022-04-28 11:00:00,1636.0,France
12143,Electronics,Headphones,1,347.36,2022-10-05 07:00:00,1681.0,Canada
19879,Groceries,Milk,8,398.53,2022-02-19 08:00:00,1558.0,USA
16806,Groceries,Butter,3,85.86,2022-12-20 08:00:00,1260.0,UK
17357,Electronics,Laptop,7,56.63,2022-09-22 07:00:00,1216.0,UK
13440,Books,Fiction,1,77.03,2022-01-22 23:00:00,1816.0,France
13766,Home Decor,Table,1,439.18,2022-02-08 04:00:00,1123.0,Australia
15644,Electronics,Laptop,5,266.45,2022-05-29 22:00:00,1804.0,Australia
12914,Books,Comics,5,236.29,2022-05-19 07:00:00,1161.0,France
14968,Electronics,Keyboard,8,57.82,2022-02-28 14:00:00,1200.0,Germany
15917,Electronics,Headphones,7,326.53,2022-02-21 17:00:00,1453.0,UK
18787,Clothing,Jeans,8,434.66,2022-08-05 22:00:00,1401.0,Germany
10728,Books,Textbook,6,414.95,2022-10-30 01:00:00,1461.0,Canada
11365,Home Decor,Sofa,6,314.9,2022-05-11 13:00:00,1274.0,UK
14492,Clothing,T-Shirt,2,42.26,2022-02-03 06:00:00,1205.0,Canada
10698,Electronics,Keyboard,6,60.64,2022-03-05 11:00:00,1039.0,USA
17186,Electronics,Keyboard,5,29.41,2022-10-28 09:00:00,1272.0,Germany
10395,Electronics,Keyboard,3,132.45,2022-07-25 08:00:00,1699.0,France
17400,Books,Non-Fiction,6,72.15,2022-05-01 08:00:00,1866.0,UK
18082,Books,Textbook,8,133.72,2022-04-23 02:00:00,1092.0,Germany
14171,Clothing,Cap,9,195.6,2022-06-20 11:00:00,1041.0,France
14360,Home Decor,Chair,1,471.78,2022-10-31 10:00:00,1464.0,USA
12502,Clothing,T-Shirt,3,307.14,2022-09-18 09:00:00,1378.0,UK
10717,Groceries,Bread,3,418.31,2022-01-29 18:00:00,1106.0,Canada
12782,Electronics,Keyboard,8,356.62,2022-12-30 07:00:00,1327.0,USA
14946,Electronics,Charger,1,60.69,2022-03-04 07:00:00,1064.0,Australia
15486,Electronics,Keyboard,5,369.28,2022-02-07 04:00:00,1364.0,France
18335,Clothing,Jacket,3,141.17,2022-12-24 10:00:00,1820.0,UK
14980,Clothing,Jacket,2,321.36,2022-09-02 17:00:00,1483.0,UK
17266,Electronics,Charger,8,173.78,2022-07-07 15:00:00,1646.0,USA
14491,Clothing,Jeans,3,498.85,2022-02-07 09:00:00,1900.0,UK
17192,Books,Non-Fiction,7,135.46,2022-01-30 14:00:00,1023.0,France
15588,Books,Comics,1,143.17,2022-06-03 23:00:00,1539.0,USA
17651,Clothing,Cap,6,465.68,2022-04-22 22:00:00,1061.0,Canada
13636,Electronics,Charger,3,17.2,2022-10-27 12:00:00,1490.0,USA
11167,Clothing,T-Shirt,8,349.86,2022-08-29 18:00:00,1272.0,USA
11062,Clothing,Cap,6,364.04,2022-11-20 16:00:00,1228.0,Canada
12156,Clothing,Jacket,2,419.01,2022-07-28 21:00:00,1019.0,Australia
17860,Groceries,Rice,6,487.35,2022-07-08 00:00:00,1002.0,France
15161,Books,Comics,7,487.92,2022-01-18 07:00:00,,Australia
15305,Home Decor,Chair,5,37.31,2022-06-24 04:00:00,1729.0,Australia
16541,Home Decor,Curtains,3,411.81,2022-06-27 14:00:00,1910.0,Australia
14729,Groceries,Milk,4,324.92,2022-04-15 19:00:00,1306.0,Germany
19348,Clothing,Jacket,4,325.43,2022-08-24 00:00:00,1431.0,Australia
17330,Groceries,Eggs,6,68.53,2022-10-03 16:00:00,1135.0,Germany
15334,Groceries,Eggs,1,326.84,2022-02-11 08:00:00,1908.0,Canada
18924,Electronics,Smartphone,4,491.33,2022-07-02 02:00:00,1943.0,France
14330,Books,Textbook,4,456.35,2022-03-15 21:00:00,1514.0,Australia
18010,Home Decor,Chair,1,222.37,2022-05-29 09:00:00,1192.0,UK
16801,Clothing,Jeans,9,24.77,2022-06-09 00:00:00,1584.0,Canada
14846,Home Decor,Curtains,4,184.34,2022-10-04 09:00:00,1414.0,Germany
16731,Home Decor,,7,414.06,2022-03-15 04:00:00,1872.0,France
17241,Books,Comics,3,352.24,2022-04-09 21:00:00,1117.0,USA
10953,Home Decor,Chair,3,232.38,2022-04-18 08:00:00,1665.0,France
12539,Home Decor,Chair,8,32.28,2022-06-24 08:00:00,1208.0,France
17056,Groceries,Bread,8,216.31,2022-04-10 21:00:00,1951.0,Australia
11542,Books,Fiction,1,237.17,2022-09-06 17:00:00,1033.0,Australia
15293,Electronics,Smartphone,2,464.63,2022-07-08 23:00:00,1648.0,Germany
11191,Clothing,Cap,8,322.34,2022-10-14 19:00:00,,Germany
16313,Home Decor,,1,159.27,2022-12-05 15:00:00,1119.0,Australia
16938,Clothing,Cap,8,265.03,2022-01-31 14:00:00,1626.0,Australia
12681,Electronics,Headphones,8,37.7,2022-01-27 08:00:00,1524.0,UK
19409,Clothing,Jacket,2,486.42,2022-06-27 20:00:00,1580.0,UK
11540,Electronics,Keyboard,4,183.23,2022-06-20 19:00:00,1936.0,Canada
16172,Groceries,Rice,6,241.54,2022-05-01 21:00:00,1844.0,Australia
15541,Home Decor,Sofa,9,180.87,2022-03-11 07:00:00,1768.0,USA
19580,Electronics,Laptop,8,342.84,2022-08-21 23:00:00,1088.0,UK
11365,Clothing,Jacket,8,332.8,2022-06-11 08:00:00,1511.0,Germany
18691,Home Decor,Chair,7,359.08,2022-02-13 22:00:00,1046.0,France
19872,Groceries,Bread,9,137.73,2022-12-24 04:00:00,1771.0,Canada
18702,Home Decor,Curtains,2,161.26,2022-05-09 10:00:00,1739.0,UK
17494,Electronics,Laptop,3,67.0,2022-11-30 15:00:00,1958.0,France
14312,Groceries,Bread,8,329.48,2022-06-27 13:00:00,1691.0,France
11324,Clothing,Cap,6,24.7,2022-04-10 13:00:00,1521.0,UK
19347,Groceries,Bread,9,300.85,2022-05-29 01:00:00,1283.0,USA
13141,Groceries,Milk,4,435.5,2022-08-03 02:00:00,1376.0,USA
17419,Books,Fiction,8,445.96,2022-01-23 16:00:00,1637.0,Canada
13486,Groceries,Rice,3,227.27,2022-06-02 15:00:00,1133.0,USA
11810,Groceries,Eggs,3,232.36,2022-04-04 07:00:00,1666.0,Canada
16588,Home Decor,Curtains,8,43.1,2022-06-07 05:00:00,1247.0,Germany
12923,Clothing,Cap,5,337.03,2022-04-20 11:00:00,1651.0,UK
15301,Home Decor,Curtains,3,411.52,2022-10-03 18:00:00,1317.0,France
14186,Home Decor,Curtains,1,126.1,2022-10-10 12:00:00,1435.0,Canada
18905,Electronics,Smartphone,3,213.54,2022-11-30 23:00:00,1175.0,USA
15977,Home Decor,Chair,9,420.23,2022-05-11 10:00:00,1834.0,Canada
14268,Books,Textbook,5,439.17,2022-01-05 00:00:00,1685.0,Australia
14748,Books,Fiction,2,125.37,2022-06-10 18:00:00,1992.0,Canada
14849,Electronics,Smartphone,7,277.53,2022-04-23 20:00:00,1585.0,USA
19435,Clothing,Jacket,2,100.28,2022-08-13 21:00:00,1350.0,Australia
13709,Clothing,T-Shirt,4,55.43,2022-09-14 08:00:00,1142.0,Australia
19273,Home Decor,Sofa,7,456.0,2022-01-20 00:00:00,1966.0,USA
16619,Home Decor,Chair,4,411.15,2022-09-04 10:00:00,1803.0,Australia
18647,Home Decor,Table,7,381.22,2022-07-02 00:00:00,1397.0,UK
19086,Clothing,Jacket,7,29.14,2022-06-20 08:00:00,1623.0,France
19576,Groceries,Eggs,1,422.65,2022-12-16 23:00:00,1717.0,UK
13072,Books,Non-Fiction,6,221.83,2022-03-22 17:00:00,1642.0,UK
16530,Groceries,Eggs,9,174.49,2022-02-17 18:00:00,1368.0,USA
10504,Groceries,Milk,2,275.51,2022-08-03 16:00:00,1500.0,USA
11214,Clothing,Shoes,3,50.22,2022-06-29 03:00:00,1621.0,France
11531,Groceries,Rice,5,379.54,2022-12-05 06:00:00,1369.0,Canada
17576,Electronics,Smartphone,9,293.31,2022-12-26 18:00:00,1578.0,UK
10823,Home Decor,Sofa,4,97.36,2022-11-20 07:00:00,1381.0,Australia
10928,Electronics,Keyboard,1,98.17,2022-11-28 09:00:00,1085.0,France
15029,Books,Comics,4,96.2,2022-07-19 08:00:00,1786.0,UK
10133,Home Decor,Table,6,33.22,2022-03-02 21:00:00,1738.0,Canada
12105,Groceries,Bread,5,295.96,2022-02-18 07:00:00,1459.0,Australia
13627,Books,Comics,1,420.97,2022-01-17 02:00:00,1949.0,UK
16316,Home Decor,Curtains,4,13.66,2022-10-27 16:00:00,1324.0,Germany
11852,Groceries,Eggs,6,29.26,2022-07-18 23:00:00,1521.0,France
14910,Electronics,Headphones,4,288.52,2022-05-23 01:00:00,1488.0,USA
14175,Home Decor,Table,9,410.65,2022-01-29 17:00:00,1928.0,UK
15348,Groceries,,5,166.74,2022-10-20 20:00:00,1396.0,Australia
19442,Electronics,Smartphone,8,178.06,2022-10-30 14:00:00,1895.0,Australia
16190,Books,Fiction,9,300.19,2022-08-25 00:00:00,1354.0,France
11256,Books,Biography,5,140.74,2022-10-09 22:00:00,1946.0,France
13376,Books,Textbook,6,18.17,2022-02-09 16:00:00,1287.0,Australia
15645,Books,Fiction,1,368.94,2022-09-13 22:00:00,1458.0,Australia
13486,Clothing,Cap,7,314.7,2022-09-06 15:00:00,1623.0,Australia
13584,Home Decor,Table,4,292.47,2022-10-28 05:00:00,1997.0,UK
19588,Home Decor,Lamp,2,372.13,2022-04-14 12:00:00,1535.0,Australia
18053,Clothing,T-Shirt,5,339.24,2022-03-19 06:00:00,1290.0,USA
13330,Groceries,Eggs,3,106.91,2022-05-15 15:00:00,1850.0,Australia
12703,Groceries,Milk,6,179.48,2022-04-19 05:00:00,1837.0,USA
18662,Books,Textbook,8,67.42,2022-11-23 05:00:00,1167.0,UK
18120,Electronics,Headphones,7,69.28,2022-12-08 02:00:00,1949.0,France
17114,Groceries,Rice,3,339.72,2022-06-15 23:00:00,1620.0,USA
11353,Electronics,Keyboard,8,430.01,2022-10-18 03:00:00,1427.0,UK
15063,Home Decor,Curtains,2,481.55,2022-10-06 12:00:00,1701.0,Australia
18549,Electronics,Keyboard,9,316.03,2022-01-28 08:00:00,1489.0,UK
17575,Home Decor,Lamp,4,96.13,2022-11-19 15:00:00,1354.0,Australia
10667,Clothing,Jacket,1,57.3,2022-10-12 23:00:00,1195.0,UK
14468,Clothing,T-Shirt,8,407.36,2022-09-21 00:00:00,1544.0,France
19337,Books,Comics,7,291.48,2022-11-27 18:00:00,1716.0,USA
16819,Groceries,Rice,5,311.05,2022-09-15 08:00:00,1823.0,France
13719,Books,Fiction,5,391.82,2022-05-17 21:00:00,1931.0,Germany
12745,Home Decor,Sofa,7,353.12,2022-08-20 15:00:00,1693.0,Australia
17483,Books,Comics,5,418.06,2022-05-29 11:00:00,1658.0,USA
10539,Electronics,Laptop,8,32.83,2022-07-11 00:00:00,1938.0,France
14964,Home Decor,Chair,6,375.02,2022-07-20 17:00:00,1779.0,USA
14835,Clothing,Shoes,5,426.17,2022-07-30 01:00:00,,Germany
13775,Groceries,Rice,9,146.64,2022-09-15 14:00:00,1581.0,Canada
16042,Home Decor,Curtains,2,322.02,2022-12-01 10:00:00,1255.0,Australia
17102,Home Decor,Table,1,160.51,2022-05-16 04:00:00,1395.0,Australia
17312,Electronics,Keyboard,8,479.2,2022-02-13 08:00:00,1730.0,UK
15320,Groceries,Milk,3,21.54,2022-04-05 17:00:00,1808.0,Australia
16132,Clothing,Jacket,7,292.0,2022-06-01 05:00:00,1408.0,Australia
17891,Home Decor,Chair,8,87.42,2022-03-30 02:00:00,1361.0,France
12779,Home Decor,Table,6,357.55,2022-11-03 20:00:00,1258.0,Australia
10924,Electronics,Laptop,9,92.07,2022-03-11 21:00:00,1002.0,Australia
11581,Books,Textbook,7,121.51,2022-05-09 22:00:00,1083.0,Germany
17714,Clothing,T-Shirt,5,249.71,2022-09-02 17:00:00,1155.0,Germany
13324,Groceries,Rice,8,457.84,2022-04-06 04:00:00,1662.0,USA
15713,Home Decor,Curtains,2,109.8,2022-07-30 12:00:00,1175.0,USA
17026,Home Decor,Curtains,7,76.4,2022-10-22 06:00:00,1706.0,Australia
10255,Clothing,T-Shirt,4,380.69,2022-03-08 05:00:00,1937.0,Australia
14804,Books,Biography,9,252.81,2022-04-16 00:00:00,1471.0,UK
11838,Home Decor,Chair,1,456.33,2022-07-13 16:00:00,1618.0,USA
10009,Clothing,Jacket,7,77.57,2022-08-27 17:00:00,1423.0,France
12871,Electronics,Charger,6,324.73,2022-01-29 22:00:00,1133.0,Australia
18989,Books,Biography,8,120.28,2022-11-22 07:00:00,1787.0,France
17409,Groceries,Bread,5,82.6,2022-06-03 11:00:00,1906.0,Australia
17418,Home Decor,Lamp,1,343.3,2022-10-07 08:00:00,1863.0,France
15124,Clothing,Cap,1,298.87,2022-11-04 00:00:00,1379.0,Canada
11015,Electronics,Smartphone,9,378.64,2022-03-24 03:00:00,1666.0,France
12193,Groceries,Butter,6,158.18,2022-12-02 15:00:00,1276.0,USA
18415,Clothing,T-Shirt,5,226.75,2022-06-25 18:00:00,1235.0,Australia
17449,Clothing,,1,205.71,2022-03-19 20:00:00,1751.0,USA
14158,Groceries,Bread,6,492.12,2022-03-11 15:00:00,1881.0,France
13925,Electronics,Laptop,6,149.66,2022-03-14 00:00:00,1012.0,Germany
16970,Electronics,Keyboard,3,150.93,2022-11-15 00:00:00,1341.0,Germany
16938,Books,Textbook,8,180.5,2022-09-24 19:00:00,1034.0,Germany
14784,Home Decor,Table,1,284.47,2022-09-11 20:00:00,1558.0,Australia
14000,Groceries,,1,129.9,2022-03-31 06:00:00,1213.0,UK
11633,Groceries,Eggs,6,458.07,2022-09-15 16:00:00,1411.0,Canada
17266,Groceries,Eggs,1,136.51,2022-09-08 10:00:00,1404.0,France
18702,Electronics,Keyboard,6,448.43,2022-01-11 13:00:00,1493.0,UK
10384,Home Decor,Lamp,1,56.22,2022-06-20 22:00:00,1657.0,Germany
10404,Books,Biography,6,330.0,2022-05-28 14:00:00,1158.0,France
18175,Clothing,Shoes,3,453.96,2022-04-26 15:00:00,1955.0,UK
12000,Clothing,Shoes,8,88.53,2022-11-16 22:00:00,1636.0,USA
19860,Groceries,Bread,6,484.32,2022-09-16 20:00:00,1109.0,Germany
15989,Home Decor,Sofa,1,229.18,2022-07-13 05:00:00,1548.0,UK
11460,Electronics,Laptop,5,473.13,2022-09-09 10:00:00,1788.0,Australia
17190,Home Decor,Curtains,8,340.03,2022-12-19 09:00:00,1525.0,USA
17140,Home Decor,Curtains,3,154.29,2022-09-27 20:00:00,1984.0,Germany
13636,Electronics,Charger,6,98.21,2022-05-12 04:00:00,1346.0,Canada
14809,Groceries,Milk,5,155.35,2022-05-20 23:00:00,1743.0,Germany
14178,Home Decor,Curtains,6,51.04,2022-02-11 20:00:00,1827.0,Australia
17245,Clothing,Jacket,1,76.21,2022-07-16 13:00:00,1635.0,Canada
16600,Electronics,Smartphone,7,56.81,2022-05-17 07:00:00,1278.0,Canada
15997,Books,Non-Fiction,9,214.36,2022-01-09 17:00:00,1478.0,Canada
12048,Groceries,Butter,2,398.81,2022-08-19 19:00:00,1110.0,France
14780,Electronics,Charger,5,74.98,2022-01-07 09:00:00,1635.0,France
10716,Books,Biography,4,69.51,2022-05-30 17:00:00,1924.0,Canada
17939,Books,Comics,6,323.5,2022-12-25 14:00:00,1430.0,USA
15565,Home Decor,Curtains,6,102.61,2022-02-23 12:00:00,1541.0,Canada
14544,Home Decor,Sofa,2,53.32,2022-05-12 04:00:00,1114.0,UK
14976,Home Decor,,2,87.59,2022-02-02 00:00:00,1089.0,Canada
13419,Electronics,Headphones,4,462.25,2022-08-22 15:00:00,1211.0,France
17239,Electronics,Keyboard,1,411.63,2022-05-14 10:00:00,1549.0,France
